iter	Passed	Remaining
1601	5105	4455
1602	5109	4453
1603	5112	4449
1604	5115	4445
1605	5118	4442
1606	5121	4439
1607	5124	4436
1608	5127	4433
1609	5130	4429
1610	5133	4426
1611	5136	4422
1612	5139	4419
1613	5142	4416
1614	5145	4413
1615	5148	4409
1616	5151	4406
1617	5154	4402
1618	5157	4399
1619	5162	4397
1620	5165	4393
1621	5167	4390
1622	5170	4386
1623	5173	4383
1624	5176	4379
1625	5179	4376
1626	5182	4373
1627	5184	4369
1628	5187	4366
1629	5190	4362
1630	5193	4359
1631	5196	4355
1632	5199	4352
1633	5202	4349
1634	5205	4345
1635	5208	4342
1636	5211	4339
1637	5213	4335
1638	5216	4331
1639	5219	4328
1640	5222	4325
1641	5226	4322
1642	5229	4318
1643	5231	4315
1644	5234	4312
1645	5237	4308
1646	5240	4304
1647	5243	4301
1648	5246	4298
1649	5249	4295
1650	5252	4291
1651	5255	4288
1652	5258	4285
1653	5261	4281
1654	5264	4278
1655	5267	4275
1656	5271	4272
1657	5274	4268
1658	5277	4265
1659	5280	4262
1660	5283	4258
1661	5286	4255
1662	5289	4252
1663	5292	4248
1664	5294	4245
1665	5297	4242
1666	5300	4238
1667	5304	4235
1668	5307	4232
1669	5310	4229
1670	5313	4225
1671	5316	4222
1672	5319	4219
1673	5321	4215
1674	5325	4212
1675	5328	4209
1676	5331	4205
1677	5334	4202
1678	5336	4198
1679	5339	4195
1680	5342	4192
1681	5345	4188
1682	5348	4185
1683	5351	4182
1684	5354	4178
1685	5358	4175
1686	5361	4172
1687	5364	4169
1688	5367	4166
1689	5370	4162
1690	5373	4159
1691	5376	4156
